Month,story_id,planned_trending,Event count
Apr-2026,40219746,regular news,27939
Apr-2026,40217133,regular news,27881
Apr-2026,40204186,regular news,27868
Apr-2026,30000479,(not set),27857
Apr-2026,40206798,regular news,27821
Apr-2026,40200317,regular news,27807
Apr-2026,40204648,regular news,27797
Apr-2026,40215619,trending,27784
Apr-2026,40223127,regular news,27762
Apr-2026,40203592,planned,27738
Apr-2026,40214942,regular news,27714
Apr-2026,40202058,trending,27666
Apr-2026,40208319,regular news,27631
Apr-2026,40218911,regular news,27618
Apr-2026,40205502,regular news,27551
Apr-2026,40217486,regular news,27524
Apr-2026,40220491,regular news,27523
Apr-2026,40193887,regular news,27499
Apr-2026,40222102,regular news,27452
Apr-2026,40222501,regular news,27440
Apr-2026,40218099,trending,27356
Apr-2026,40206398,regular news,27320
Apr-2026,40204032,regular news,27309
Apr-2026,40206713,regular news,27272
Apr-2026,40189777,regular news,27261
Apr-2026,40205614,regular news,27250
Apr-2026,40218228,planned,27249
Apr-2026,40196951,regular news,27201
Apr-2026,30000442,(not set),27177
Apr-2026,40192963,regular news,27106
Apr-2026,40199707,regular news,27037
Apr-2026,40210238,regular news,26951
Apr-2026,40199167,planned,26938
Apr-2026,40208132,regular news,26903
Apr-2026,40204157,regular news,26881
Apr-2026,40194715,regular news,26879
Apr-2026,40189828,regular news,26809
Apr-2026,40199448,regular news,26796
Apr-2026,40209346,regular news,26796
Apr-2026,40223356,regular news,26762
Apr-2026,40209749,regular news,26743
Apr-2026,40203178,regular news,26737
Apr-2026,40212191,trending,26736
Apr-2026,40196900,regular news,26702
Apr-2026,40213962,regular news,26656
Apr-2026,40194751,regular news,26653
Apr-2026,40209833,regular news,26608
Apr-2026,40192690,regular news,26597
Apr-2026,40214534,regular news,26558
Apr-2026,40219258,regular news,26499
Apr-2026,40201358,regular news,26450
Apr-2026,40211234,regular news,26415
Apr-2026,40216043,planned,26402
Apr-2026,30000394,(not set),26320
Apr-2026,30000461,(not set),26273
Apr-2026,40208488,planned,26272
Apr-2026,40221204,regular news,26236
Apr-2026,40207516,regular news,26223
Apr-2026,40196378,regular news,26165
Apr-2026,40204120,regular news,26165
Apr-2026,40218052,regular news,26153
Apr-2026,40197112,regular news,26152
Apr-2026,40192889,regular news,26140
Apr-2026,40218756,regular news,26094
Apr-2026,40217681,regular news,26092
Apr-2026,40200685,regular news,26080
Apr-2026,40199854,planned,26069
Apr-2026,40198471,regular news,26022
Apr-2026,40199124,planned,26021
Apr-2026,40205940,regular news,25985
Apr-2026,40213267,regular news,25962
Apr-2026,40216176,trending,25939
Apr-2026,40209626,regular news,25938
Apr-2026,40220741,regular news,25915
Apr-2026,40200711,regular news,25868
Apr-2026,40207903,regular news,25830
Apr-2026,40215003,planned,25808
Apr-2026,40196421,regular news,25772
Apr-2026,40198142,regular news,25771
Apr-2026,40205535,regular news,25759
Apr-2026,40216184,planned,25749
Apr-2026,40200655,regular news,25735
Apr-2026,40209272,regular news,25724
Apr-2026,40209347,regular news,25713
Apr-2026,40199476,planned,25688
Apr-2026,40212996,regular news,25618
Apr-2026,40200512,regular news,25616
Apr-2026,40201414,planned,25535
Apr-2026,40217267,regular news,25521
Apr-2026,40208577,regular news,25450
Apr-2026,40220296,regular news,25449
Apr-2026,40199734,regular news,25441
Apr-2026,40202887,planned,25414
Apr-2026,40211093,regular news,25343
Apr-2026,40193327,regular news,25272
Apr-2026,40194577,planned,25223
Apr-2026,40199624,regular news,25217
Apr-2026,40201590,regular news,25198
Apr-2026,40220794,regular news,25176
Apr-2026,40217480,regular news,25150
Apr-2026,40189047,regular news,25140
Apr-2026,40211868,planned,25118
