Month,story_id,Region,Event count
Apr-2026,40203687,Delhi Division,18744
Apr-2026,40199121,Rajasthan,18741
Apr-2026,40204120,Delhi Division,18719
Apr-2026,40213968,Uttar Pradesh,18635
Apr-2026,40190352,Uttar Pradesh,18563
Apr-2026,40204504,Delhi Division,18539
Apr-2026,40214080,Maharashtra,18527
Apr-2026,40209211,Bihar,18526
Apr-2026,40207548,Delhi Division,18504
Apr-2026,40201413,Bihar,18503
Apr-2026,40201917,Uttar Pradesh,18480
Apr-2026,40214777,Uttar Pradesh,18480
Apr-2026,40218583,Haryana,18444
Apr-2026,40212846,Bihar,18408
Apr-2026,40214347,Haryana,18373
Apr-2026,40201433,Delhi Division,18348
Apr-2026,40214121,Uttar Pradesh,18312
Apr-2026,40194937,Uttar Pradesh,18231
Apr-2026,40203042,Delhi Division,18205
Apr-2026,40207845,Maharashtra,18157
Apr-2026,40193798,Uttar Pradesh,18122
Apr-2026,40218920,Maharashtra,18112
Apr-2026,40208709,Bihar,18100
Apr-2026,40211218,Delhi Division,18099
Apr-2026,40202391,Maharashtra,18075
Apr-2026,40216320,Bihar,18064
Apr-2026,40209211,Madhya Pradesh,18063
Apr-2026,40216403,Delhi Division,18063
Apr-2026,40209922,Delhi Division,18051
Apr-2026,40213058,Haryana,18039
Apr-2026,40219694,Uttar Pradesh,18028
Apr-2026,40213986,Uttar Pradesh,18015
Apr-2026,40221156,Uttar Pradesh,17968
Apr-2026,40218996,Uttar Pradesh,17932
Apr-2026,40195195,Maharashtra,17908
Apr-2026,40213150,Himachal Pradesh,17896
Apr-2026,40194909,Uttar Pradesh,17884
Apr-2026,40207149,Delhi Division,17860
Apr-2026,40204511,Uttar Pradesh,17850
Apr-2026,40212022,Delhi Division,17848
Apr-2026,40192165,Uttar Pradesh,17813
Apr-2026,40201972,Bihar,17789
Apr-2026,40200655,Punjab,17776
Apr-2026,40213157,Bihar,17765
Apr-2026,40194503,Bihar,17752
Apr-2026,40212480,Uttar Pradesh,17740
Apr-2026,40194454,Madhya Pradesh,17717
Apr-2026,40204343,Bihar,17717
Apr-2026,40197992,Rajasthan,17705
Apr-2026,40216084,Madhya Pradesh,17681
Apr-2026,40207867,Maharashtra,17622
Apr-2026,40211859,Uttar Pradesh,17587
Apr-2026,40195391,Uttar Pradesh,17552
Apr-2026,40205296,Rajasthan,17550
Apr-2026,40205184,Bihar,17515
Apr-2026,40207653,Uttar Pradesh,17515
Apr-2026,40222049,Bihar,17515
Apr-2026,40216320,Madhya Pradesh,17490
Apr-2026,40210995,Haryana,17479
Apr-2026,40210594,Himachal Pradesh,17466
Apr-2026,40206963,Maharashtra,17420
Apr-2026,40219692,Uttar Pradesh,17396
Apr-2026,40195084,Madhya Pradesh,17395
Apr-2026,40199611,Uttar Pradesh,17384
Apr-2026,40217712,Maharashtra,17372
Apr-2026,40203348,Bihar,17336
Apr-2026,40194675,Rajasthan,17313
Apr-2026,40189236,Rajasthan,17289
Apr-2026,40203330,Uttar Pradesh,17229
Apr-2026,40192902,Bihar,17205
Apr-2026,40210062,Delhi Division,17205
Apr-2026,40189236,Delhi Division,17204
Apr-2026,40193095,Uttar Pradesh,17204
Apr-2026,40192963,Haryana,17193
Apr-2026,40219707,Bihar,17193
Apr-2026,40194715,Uttar Pradesh,17181
Apr-2026,40210919,Uttar Pradesh,17169
Apr-2026,40212984,Delhi Division,17146
Apr-2026,40214966,Uttar Pradesh,17146
Apr-2026,40220197,Uttar Pradesh,17098
Apr-2026,40194974,Bihar,17086
Apr-2026,40210075,Madhya Pradesh,17062
Apr-2026,40218580,Haryana,17062
Apr-2026,40204032,Uttar Pradesh,17050
Apr-2026,40216501,Delhi Division,17039
Apr-2026,40196421,Haryana,17038
Apr-2026,40213729,Uttar Pradesh,16978
Apr-2026,40210676,Uttar Pradesh,16967
Apr-2026,40193441,Uttar Pradesh,16943
Apr-2026,40214104,Uttar Pradesh,16906
Apr-2026,40199188,Uttar Pradesh,16895
Apr-2026,40207548,Maharashtra,16883
Apr-2026,40214499,Uttar Pradesh,16883
Apr-2026,40215278,Bihar,16883
Apr-2026,40212984,Madhya Pradesh,16881
Apr-2026,40192212,Uttar Pradesh,16859
Apr-2026,40196193,Bihar,16823
Apr-2026,40217329,Bihar,16799
Apr-2026,40200502,Delhi Division,16776
Apr-2026,40216650,Uttar Pradesh,16776
Apr-2026,40195838,Punjab,16764
Apr-2026,40196046,Delhi Division,16764
Apr-2026,40216320,Gujarat,16764
Apr-2026,40202813,Bihar,16752
Apr-2026,40191453,Delhi Division,16729
